token1,token2,topic,reward_min_orders,reward_max_spread_cents,reward_min_size,reward_daily_pool,fixed_price
50725564368873094708103554420217899828590648113741655283135915705127205690341, 94158855268550097970255703709736348471026181484880416910846009926773607435211,liquidity_reward,,4,100,63,true
86553415657727886991449284897313064909854150852406371068073191879158660000539, 89220377181331828563519802161784281206127191723013864513842521045375024186372,liquidity_reward,,3,400,300,false
39613364913865315931514386378018944414998874795564653895884416470707478023814,58505293773838465935116525784998147381307821161678906360166240694093964623719,liquidity_reward,,4,400,200,false
10991849228756847439673778874175365458450913336396982752046655649803657501964,106181075047366745139197108801635573283215248045056329679360376976893016488727,liquidity_reward,,3,400,301,false
